id;descripcio;coddepto;departamen;codloc;localidad;idcalle;calle;nro;km;idesq1;esquina;idesq2;esq2;manzana;solar;tel1;tel2;tel3;observacio;direccion;fechaactua;telefono;desydepto;tipo;correo;web;fax;horario;x;y;lon;lat;nombre;id2
126287;POL PUERTO DE LOS BARRILES;6;DURAZNO;6020;DURAZNO;;BALTASAR BRUM;;;;GEORGE WASHINGTON;;;;;;;;BALTASAR BRUM esquina GEORGE WASHINGTON;;14-03-2026;;;;;;;;545028.018861278;6306491.35947062;-56.5159;-33.3799;POLICLINICA PUERTO DE LOS BARRILES;
126288;POL URBANA SAN FRANCISCO;6;DURAZNO;6020;DURAZNO;;JOSE DE SAN MARTIN;333;;;CNEL. ANDRES LATORRE;;;;;;;;JOSE DE SAN MARTIN 333 esquina ANDRES LATORRE;;14-03-2026;;;;;;;;544548.492299758;6305373.78121393;-56.521;-33.39;POLICLINICA SAN FRANCISCO;
126290;POL BARRIO ESTACION;6;DURAZNO;6421;SARANDI DEL YI;;ANITA E PEREZ;;;;JOAQUIN BAEZ;;;;;;;;ELBIO SOSA esquina JOAQUIN BAEZ;;14-03-2026;;;;;;;;628543.706074349;6311620.65427539;-55.6189;-33.3269;POLICLINICA BARRIO ESTACION;
126291;POL MALBAJAR;6;DURAZNO;6421;SARANDI DEL YI;;MTRO. ENRIQUE MARTINEZ MATONTE;;;;ISIDORO DE MARIA;;;;;;;;ERNESTO MARTINEZ MATONTE esquina ISIDORO DE MARIA;;14-03-2026;;;;;;;;626660.236081662;6309970.868636;-55.6389;-33.342;POLICLINICA MALBAJAR;
126292;POL MEVIR DURAZNO;6;DURAZNO;6421;SARANDI DEL YI;;;;;;QUIM. FARM. SALEM ABU ARAB;;;;;;;;CONT PTE ORIBE esquina CONSTITUCION;;14-03-2026;;;;;;;;626555.59501812;6309085.05375076;-55.6399;-33.35;POLICLINICA MEVIR;
126293;POL PLAYA VIEJA;6;DURAZNO;6421;SARANDI DEL YI;;SARANDI;;;;SOSA BERNADET;;;;;;;;SARANDI esquina BERNADET SOSA;;14-03-2026;;;;;;;;627307.465156253;6309640.79057116;-55.6319;-33.3449;POLICLINICA PLAYA VIEJA;
126294;POL SAN ANTONIO;6;DURAZNO;6421;SARANDI DEL YI;;MTRO. ENRIQUE MARTINEZ MATONTE;;;;DR. JOSE PEDRO VARELA;;;;;;;;ERNESTO MARTINEZ MATONTE esquina VARELA;;14-03-2026;;;;;;;;627571.507918561;6309193.72819184;-55.629;-33.3489;POLICLINICA SAN ANTONIO;
126295;POL BARRIO NORTE;6;DURAZNO;6421;SARANDI DEL YI;;JUSTO LEMA;;;;LIBERTADOR JUAN ANTONIO LAVALLEJA;;;;;;;;JUSTO LEMA esquina JUAN ANTONIO LAVALLEJA;;14-03-2026;;;;;;;;627409.265582694;6310304.84138149;-55.6309;-33.3389;POLICLINICA URBANA BARRIO NORTE;
126296;POL RURAL VILLA DEL CARMEN;6;DURAZNO;6521;CIUDAD DEL CARMEN;;ANDRES FARAUT;;;;;;;;;;;;ANDRES FARAUT esquina CARMELO VIGNOLI;;14-03-2026;43654077;;;;;;;592232.43030747;6321680.40087113;-56.01;-33.2399;POLICLINICA VILLA DEL CARMEN;
126297;POL RURAL BLANQUILLO;6;DURAZNO;6621;BLANQUILLO;;DR. ALEJANDRO SARACHAGA;;;;;;;;;;;;ALEJANDRO SARACHAGA esquina MARCELINO URIOSTE;;14-03-2026;43662175;;;;;;;629658.238354909;6360732.17646487;-55.6139;-32.8839;POLICLINICA BLANQUILLO;
126298;POL RURAL LA PALOMA;6;DURAZNO;6622;LA PALOMA;;;;;;;;;;;;;;CELIA G DE SANCHEZ esquina VIVIENDAS MEVIR;;14-03-2026;43603026;;;;;;;632790.091084484;6377989.49023423;-55.5829;-32.7279;POLICLINICA LA PALOMA;
126299;POL RURAL CARLOS REYLES;6;DURAZNO;6721;CARLOS REYLES;;RIVERA;;;;ANTONIO CASABO;;;;;;;;FRUCTUOSO RIVERA esquina ANTONIO CASABO;;14-03-2026;43682070;;;;;;;548545.850262858;6342395.78596323;-56.48;-33.0559;POLICLINICA CARLOS REYLES;
126300;POL RURAL CENTENARIO;6;DURAZNO;6722;CENTENARIO;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;547170.382173052;6367125.04187182;-56.496;-32.8329;POLICLINICA RURAL CENTENARIO;
126301;POL SPORTIVO YI;6;DURAZNO;6020;DURAZNO;;GUILLERMO HUDSON;;;;IRISARRY;;;;;;;;G HUDSON esquina IRISARRY;;14-03-2026;;;;;;;;544760.239763511;6308931.75374197;-56.5189;-33.3579;POLICLINICA SPORTIVO YI;
126303;RONDA RURAL BATOVI;6;DURAZNO;6900;;;;;;;;;;;;;;;PARAJE BATOVI;;14-03-2026;;;;;;;;546296.204573421;6299378.50851495;-56.5019;-33.444;POLICLINICA BATOVI;
126304;RONDA RURAL CUCHILLA DE RAMIREZ;6;DURAZNO;6900;;;;;219;;;;;;;;;;RUTA 6  KM 219;;14-03-2026;;;;;;;;642672.346076287;6400474.50041042;-55.4809;-32.5239;POLICLINICA CUCHILLA DE RAMIREZ;
126305;RONDA RURAL LA ALEGRIA;6;DURAZNO;6900;;;;;;;;;;;;;;;PARAJE LA ALEGRIA;;14-03-2026;;;;;;;;633895.521095696;6397490.97424138;-55.5739;-32.5519;POLICLINICA LA ALEGRIA;
126306;RONDA RURAL PUNTAS DE MALBAJAR;6;DURAZNO;6900;;;;;;;;;;;;;;;RUTA 6   esquina RUTA 42;;14-03-2026;;;;;;;;644408.552163443;6339345.43099143;-55.4529;-33.0749;POLICLINICA PUNTAS DE MALBAJAR;
126307;RONDA RURAL AGUAS BUENAS;6;DURAZNO;6922;AGUAS BUENAS;;;;;;;;;;;;;;CUCHILLAS DEL RINCON;;14-03-2026;;;;;;;;607018.432835859;6360881.66165685;-55.8559;-32.885;POLICLINICA AGUAS BUENAS;
126308;RONDA RURAL PUEBLO ALVAREZ;6;DURAZNO;6924;PUEBLO DE ALVAREZ;;;;35;;;;;;;;;;RUTA 100  KM 35;;14-03-2026;;;;;;;;567210.404663981;6327650.64259194;-56.279;-33.1879;POLICLINICA PUEBLO ALVAREZ;
126309;RONDA RURAL OMBUES DE ORIBE;6;DURAZNO;6951;OMBUES DE ORIBE;;;;;;;;;;;;;;OMBUES DE ORIBE;;14-03-2026;;;;;;;;560154.893989853;6315833.44751871;-56.3539;-33.2949;POLICLINICA OMBUES DE ORIBE;
126310;RONDA RURAL ROSSELL Y RIUS;6;DURAZNO;6960;ROSSELL Y RIUS;;;;;;;;;;;;;;CALLE 3 esquina CALLE 8;;14-03-2026;43607469;;;;;;;621388.011694106;6327570.5598585;-55.6979;-33.1839;POLICLINICA ROSSELL Y RIUS;
126311;POL RURAL SAN JORGE;6;DURAZNO;6964;SAN JORGE;;;;;;;;;;;;;;100 esquina AL RINCON;;14-03-2026;43605027;;;;;;;603233.044358846;6365700.83645143;-55.8969;-32.8419;POLICLINICA SAN JORGE;
126312;POL CENTRO  POL ADOLESCENTES;6;DURAZNO;6020;DURAZNO;;EUSEBIO PIRIZ;;;;;;;;;;;;EUSEBIO PIRIZ entre 17 DE JULIO y ARTIGAS;;14-03-2026;;;;;;;;544591.870309123;6306715.11868079;-56.5206;-33.3779;POLICLINICA CENTRO;
126313;POL POLICIAL;6;DURAZNO;6020;DURAZNO;;EUSEBIO PIRIZ;;;;;;;;;;;;EUSEBIO PIRIZ entre 17 DE JULIO y RIVERA;;14-03-2026;;;;;;;;544563.45519741;6306604.37870999;-56.5209;-33.3789;POLICLINICA POLICIAL;
126316;POL BARRIO RIBOT;7;FLORES;7320;TRINIDAD;;LEANDRO GOMEZ;;;;MANUEL SANCHEZ ECHEVERRIA;;;;;;;;LEANDRO GOMEZ esquina MANUEL SANCHEZ ECHEVERRIA;;14-03-2026;;;;;;;;508831.063948048;6290726.73967401;-56.9049;-33.523;POLICLINICA BARRIO RIBOT;
126317;POL BARRIO UNION;7;FLORES;7320;TRINIDAD;;CDTE. HEBER CASTIGLIONI;;;;PBRO. AURELIANO PAREDES;;;;;;;;H CASTIGLIONI esquina AURELIANO PAREDES;;14-03-2026;;;;;;;;509944.03204412;6289406.30531136;-56.8929;-33.5349;POLICLINICA BARRIO UNION;
126318;POL CRUZ ROJA PEDRO BLAS SALLUA;7;FLORES;7320;TRINIDAD;;BALTASAR BRUM;;;;LUIS A DE HERRERA;;;;;;;;BALTASAR BRUM esquina LUIS ALBERTO DE HERRERA;;14-03-2026;;;;;;;;509482.737192882;6292400.24935328;-56.8979;-33.5079;POLICLINICA CRUZ ROJA PEDRO BLAS SALLUA;
126319;POL RETIRADOS MILITARES;7;FLORES;7320;TRINIDAD;;GRAL. LAVALLEJA;;;;25 DE AGOSTO;;;;;;;;JUAN ANTONIO LAVALLEJA esquina 25 DE AGOSTO;;14-03-2026;;;;;;;;509946.206814875;6291512.82683451;-56.8929;-33.5159;POLICLINICA RETIRADOS MILITARES;
126320;POL SANCHEZ ECHEVERRIA COVIF I;7;FLORES;7320;TRINIDAD;;SOLIS;;;;;;;;;;;;SOLIS esquina COLON;;14-03-2026;;;;;;;;509575.834453266;6292621.89597179;-56.8969;-33.5059;POLICLINICA SANCHEZ ECHEVERRIA;
126321;POL ISMAEL CORTINAS;7;FLORES;7721;ISMAEL CORTINAS;;LUIS A DE HERRERA;;;;GRAL. APARICIO SARAVIA;;;;;;;;LUIS ALBERTO DE HERRERA esquina APARICIO SARAVIA;;14-03-2026;45392056;;;;;;;491961.776037541;6242508.56201796;-57.087;-33.9579;POLICLINICA ISMAEL CORTINAS;
126322;POL ANDRESITO;7;FLORES;7921;ANDRESITO;;SENAQUE;;;;VAIMACA PIRU;;;;;;;;SENAQUE esquina VAIMACA PIRU;;14-03-2026;43604286;;;;;;;487785.752481429;6330091.75593541;-57.131;-33.1679;POLICLINICA ANDRESITO;
126323;POL JUAN JOSE CASTRO;7;FLORES;7925;JUAN JOSE CASTRO;;;;;;;;;;;;;;RUTA SECUNDARIA;;14-03-2026;;;;;;;;523882.536270058;6293927.51020122;-56.7429;-33.4939;POLICLINICA JUAN JOSE CASTRO;
126324;POL LA CASILLA;7;FLORES;7937;LA CASILLA;;;;;;;;;;;;;;23;;14-03-2026;;;;;;;;504820.582795745;6274442.66092495;-56.948;-33.6699;POLICLINICA LA CASILLA;
126325;POL CERRO COLORADO;7;FLORES;7938;CERRO COLORADO;;;;;;;;;;;;;;3;;14-03-2026;;;;;;;;518537.741493742;6268106.16307998;-56.7999;-33.7269;POLICLINICA CERRO COLORADO;
126326;POL DR RUBIO;7;FLORES;7320;TRINIDAD;;SANTISIMA TRINIDAD;;;;SARANDI;;;;;;;;SANTISIMA TRINIDAD esquina SARANDI;;14-03-2026;;;;;;;;509193.866599819;6291402.70450461;-56.901;-33.5169;POLICLINICA DR RUBIO;
126328;POL CORRALON DEL TIGRE;8;FLORIDA;8220;FLORIDA;;3 DE JUNIO;;;;12 DE OCTUBRE;;;;;;;;3 DE JUNIO esquina 12 DE OCTUBRE;;14-03-2026;;;;;;;;572798.247813169;6227927.68877382;-56.2109;-34.0869;POLICLINICA CORRALON DEL TIGRE;
126353;POL INDEPENDENCIA;8;FLORIDA;8933;INDEPENDENCIA;;;;72;;;;;;;;;;RUTA 77  KM 72 esquina CALLE 1;;14-03-2026;43382122;;;;;;;555454.124083348;6198438.48736994;-56.397;-34.3539;POLICLINICA INDEPENDENCIA;
126329;POL CUCHILLA SANTARCIERI;8;FLORIDA;8220;FLORIDA;;;3456;;;JULIO CESAR GRAUERT;;;;;;;;CALLE 60 3456 esquina JULIO CESAR GRAUERT;;14-03-2026;43521368;;;;;;;570211.753524442;6227503.74203525;-56.2389;-34.0909;POLICLINICA CUCHILLA SANTARCIERI;
126330;POL FLORIDA BLANCA;8;FLORIDA;8220;FLORIDA;;FAUSTINO HARRISON;;;;TIMOTEO APARICIO;;;;;;;;DEPARTAMENTAL F HARRISON esquina TIMOTEO APARICIO;;14-03-2026;43521306;;;;;;;571116.687740474;6226388.06221733;-56.229;-34.1009;POLICLINICA FLORIDA BLANCA;
126331;POL PRADO ESPANOL;8;FLORIDA;8220;FLORIDA;;LUIS EDUARDO PEREZ;;;;JOSE BATLLE Y ORDO�EZ;;;;;;;;LUIS EDUARDO PEREZ esquina JOSE BATLLE Y ORDONEZ;;14-03-2026;43522247;;;;;;;572773.528018974;6225920.76520815;-56.211;-34.105;POLICLINICA PRADO ESPANOL;
126332;POL SAN FERNANDO;8;FLORIDA;8220;FLORIDA;;JUAN PEDRO GIANOLA;;;;ALBERTO HEBER USHER;;;;;;;;JUAN PEDRO GIANOLA esquina ALBERTO HEBER USHER;;14-03-2026;43521302;;;;;;;571784.181256702;6228035.26290997;-56.2219;-34.086;POLICLINICA SAN FERNANDO;
126334;POL NUEVO PARIS;8;FLORIDA;8421;SARANDI GRANDE;;ITUZAINGO;;;;;;;;;;;;ITUZAINGO esquina BATALLA DE LAS PIEDRAS;;14-03-2026;43548055;;;;;;;561660.573624151;6268945.38157134;-56.3345;-33.7177;POLICLINICA NUEVO PARIS;
126335;POL URBANA DEL PARQUE;8;FLORIDA;8421;SARANDI GRANDE;;ARTIGAS MACHADO RIBAS;;;;12 DE OCTUBRE;;;;;;;;ARTIGAS M RIVAS esquina 12 DE OCTUBRE;;14-03-2026;43548056;;;;;;;561977.533350767;6267812.35043612;-56.331;-33.7279;POLICLINICA URBANA DEL PARQUE;
126336;POL URBANA MEVIR;8;FLORIDA;8421;SARANDI GRANDE;;12 DE OCTUBRE;;;;DURAZNO;;;;;;;;12 DE OCTUBRE esquina DURAZNO;;14-03-2026;43548054;;;;;;;561239.154053073;6268249.54310016;-56.339;-33.724;POLICLINICA URBANA MEVIR;
126337;POL VILLA HIPICA;8;FLORIDA;8421;SARANDI GRANDE;;;;;;;;;;;;;;CONT AV ARTIGAS esquina RUTA 5;;14-03-2026;;;;;;;;562538.307051271;6267143.41285907;-56.3249;-33.7339;POLICLINICA VILLA HIPICA;
126338;POL CASUPA;8;FLORIDA;8521;CASUPA;;JOSE PEDRO VARELA;;;;EUSTAQUIO FERNANDEZ OLASCOAGA;;;;;;;;JOSE PEDRO VARELA esquina EUSTAQUIO FERNANDEZ OLASCUAGA;;14-03-2026;43112190;;;;;;;624440.338644599;6225613.06193115;-55.6509;-34.1029;POLICLINICA CASUPA;
126339;POL CARDAL;8;FLORIDA;8621;CARDAL;;AVDA. GRAL. ARTIGAS;;;;MISERMINDA P DE CERQUEIRO;;;;;;;;JOSE GERVASIO ARTIGAS esquina HERMINDA P DE CERQUEIRO;;14-03-2026;43398059;;;;;;;555779.497133968;6205189.75628509;-56.3939;-34.293;POLICLINICA CARDAL;
126340;POL FRAY MARCOS;8;FLORIDA;8622;FRAY MARCOS;;;;;;18 DE JULIO;;;;;;;;CYRO GIAMBRUNO esquina 18 DE JULIO;;14-03-2026;;;;;;;;616278.240415728;6215402.88814039;-55.738;-34.1959;POLICLINICA FRAY MARCOS;
126341;POL 25 DE AGOSTO FLORIDA;8;FLORIDA;8623;25 DE AGOSTO;;MANUEL CALLEROS;;;;ZENEN RODRIGUEZ;;;;;;;;MANUEL CALLEROS esquina ZENEN RODRIGUEZ;;14-03-2026;43382032;;;;;;;555231.37228546;6191886.14516471;-56.399;-34.413;POLICLINICA 25 DE AGOSTO;
126342;POL 25 DE MAYO;8;FLORIDA;8624;25 DE MAYO;;19 DE JUNIO;;;;GRAL. FRUCTUOSO RIVERA;;;;;;;;19 DE JUNIO esquina FRUCTUOSO RIVERA;;14-03-2026;43392065;;;;;;;560624.806727471;6215816.13090619;-56.342;-34.1969;POLICLINICA 25 DE MAYO;
126343;POL CERRO COLORADO;8;FLORIDA;8721;ALEJANDRO GALLINAL;;;;145.5;;;;;;;;;;RUTA 7  KM 145500 esquina EL BAQUEANO;;14-03-2026;43182066;;;;;;;634130.534630519;6251866.43770736;-55.5499;-33.865;POLICLINICA CERRO COLORADO;
126344;POL CAPILLA DEL SAUCE;8;FLORIDA;8722;CAPILLA DEL SAUCE;;AVDA. CENTENARIO DE FLORIDA;;;;;;;;;;;;CENTENARIO DE FLORIDA esquina RUTA 6;;14-03-2026;43607225;;;;;;;626943.733526121;6296115.89082096;-55.6339;-33.4669;POLICLINICA CAPILLA DEL SAUCE;
126345;POL LA CRUZ;8;FLORIDA;8723;LA CRUZ;;;;;;GRAL. FRUCTUOSO RIVERA;;;;;;;;GRA JOSE ARTIGAS esquina FRUCTUOSO RIVERA;;14-03-2026;43502146;;;;;;;570622.50991043;6245464.54788295;-56.2359;-33.9289;POLICLINICA LA CRUZ;
126346;POL CHAMIZO;8;FLORIDA;8821;CHAMIZO;;FLORIDA;;;;JOSE PIROTTO;;;;;;;;FLORIDA esquina 18 DE FEBRERO;;14-03-2026;43192070;;;;;;;599552.003531736;6210160.89294021;-55.9189;-34.2449;POLICLINICA CHAMIZO;
126347;POL GONI;8;FLORIDA;8822;GO�I;;SARANDI;;;;19 DE ABRIL;;;;;;;;SARANDI esquina 19 DE ABRIL;;14-03-2026;43502825;;;;;;;554269.597218666;6290821.85508318;-56.4156;-33.5208;POLICLINICA GONI;
126348;POL MENDOZA GRANDE;8;FLORIDA;8823;MENDOZA;;;;74;;;;;;;;;;RUTA 5  KM 74;;14-03-2026;43395033;;;;;;;571691.073103573;6204981.58502515;-56.221;-34.2939;POLICLINICA MENDOZA GRANDE;
126349;POL MENDOZA CHICO;8;FLORIDA;8824;MENDOZA CHICO;;;;;;;;;;;;;;CALLE 9 esquina 19 DE ABRIL;;14-03-2026;43395483;;;;;;;572104.424432431;6210855.75134614;-56.217;-34.2409;POLICLINICA MENDOZA CHICO;
126350;POL REBOLEDO;8;FLORIDA;8825;REBOLEDO;;;;123;;;;;;;;;;RUTA 7  KM 123 esquina CALLE B;;14-03-2026;43119014;;;;;;;624689.15822992;6237477.12556337;-55.6499;-33.9959;POLICLINICA REBOLEDO;
126351;POL SAN GABRIEL;8;FLORIDA;8900;;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;602740.382243075;6233127.48629917;-55.887;-34.0375;POLICLINICA SAN GABRIEL;
126354;POL PINTADO;8;FLORIDA;8940;PINTADO;;;;;;;;;;;;;;FLORIDA esquina GRAL FLORES;;14-03-2026;;;;;;;;564315.50328542;6255932.50520532;-56.3049;-33.8349;POLICLINICA PINTADO;
126355;POL POLANCO DEL YI;8;FLORIDA;8941;POLANCO DEL YI;;RUTA 42;;;;;;;;;;;;42;;14-03-2026;;;;;;;;578325.378140542;6294514.98074409;-56.1569;-33.486;POLICLINICA POLANCO DEL YI;
126356;POL PUNTAS DE MACIEL;8;FLORIDA;8944;PUNTAS DE MACIEL;;;;;;;;;;;;;;RUTA 5;;14-03-2026;43502833;;;;;;;559094.668483763;6279583.78577325;-56.3629;-33.6219;POLICLINICA PUNTAS DE MACIEL;
126357;POL LA MACANA;8;FLORIDA;8993;LA MACANA;;;;;;;;;;;;;;CNO VECINAL esquina CNO VECINAL;;14-03-2026;43503483;;;;;;;574495.136629599;6233680.72563752;-56.193;-34.0349;POLICLINICA LA MACANA;
126358;POL CHILCAS Y CHINGOLAS;8;FLORIDA;8900;;;;;172;;;;;;;;;;RUTA 6 KM 172 esquina CNO VECINAL;;14-03-2026;;;;;;;;625350.241484714;6280821.34890193;-55.6489;-33.605;CONSULTORIO CHILCAS Y CHINGOLAS;
126361;POL BARRIO ESPANA;9;LAVALLEJA;9220;MINAS;;CHICO CARLO;;;;ARIEL;;;;;;;;CHICO CARLO esquina ARIEL;;14-03-2026;44422078;;;;;;;659611.053497598;6194021.66938376;-55.2639;-34.3829;POLICLINICA BARRIO ESPANA;
126362;POL CENTRO DE BARRIO N 3 LOS CABRITOS;9;LAVALLEJA;9220;MINAS;;;;;;;;;;;;;;PUBLICA 31 esquina SANTIAGO VAZQUEZ 3 PUENTES;;14-03-2026;44445591;;;;;;;662032.498909065;6195754.90668472;-55.2379;-34.3669;POLICLINICA BARRIO N 3 LOS CABRITOS;
126363;POL BARRIO OLIMPICO DOUGLAS ELOLA;9;LAVALLEJA;9220;MINAS;;;;;;;;;;;;;;AVDA ARTIGAS;;14-03-2026;44431187;;;;;;;661206.732510272;6195880.14721429;-55.2469;-34.3659;POLICLINICA BARRIO OLIMPICO DOUGLAS ELOLA;
126364;POL CENTRO DE BARRIO N 1 REYES TERRA;9;LAVALLEJA;9220;MINAS;;ESPA�A;;;;;;;;;;;;ESPANA entre ELLLAURI y ANILIVIA;;14-03-2026;44445537;;;;;;;663116.490422708;6194615.54427948;-55.2259;-34.377;POLICLINICA CENTRO DE BARRIO N 1 REYES TERRA;
126365;POL ESTACION;9;LAVALLEJA;9220;MINAS;;;;;;;;;;;;;;AVDA ARTIGAS esquina URGOLINI;;14-03-2026;44429886;;;;;;;660766.007633506;6196997.11463777;-55.2519;-34.3559;POLICLINICA ESTACION;
126366;POL FILARMONICA;9;LAVALLEJA;9220;MINAS;;DR. WASHINGTON BELTRAN;;;;JUAN B RONDEAU;;;;;;;;WASHINGTON BELTRAN esquina J B RONDEAU;;14-03-2026;44424712;;;;;;;662743.062339943;6194300.34755558;-55.2299;-34.3799;POLICLINICA FILARMONICA;
126367;POL GAROLINI;9;LAVALLEJA;9220;MINAS;;;;;;GUAYABO;;;;;;;;RUTA 12 esquina GUAYABO;;14-03-2026;44431207;;;;;;;658978.769101891;6194698.08397369;-55.2709;-34.3769;POLICLINICA GAROLINI;
126368;POL DIABETICOS RAMBLA;9;LAVALLEJA;9220;MINAS;;DOMINGO PEREZ;443;;;;;;;;;;;DOMINGO PEREZ 443;;14-03-2026;44432995;;;;;;;661919.357507868;6194536.56034655;-55.2389;-34.3779;POLICLINICA RAMBLA;
126371;POL SIAV 1 J P VARELA;9;LAVALLEJA;9522;JOSE PEDRO VARELA;;LAVALLEJA;;;;ALBERTO URRUSTI;;;;;;;;JUAN ANTONIO LAVALLEJA esquina ALBERTO URRUSTY;;14-03-2026;;;;;;;;728175.561877646;6295030.26376338;-54.5449;-33.4599;POLICLINICA COMUNITARIA VARELA;
126372;CENTRO PODESTA CARNELLI VARELA;9;LAVALLEJA;9522;JOSE PEDRO VARELA;;TREINTA Y TRES;;;;J M COYA;;;;;;;;TREINTA Y TRES esquina J M COYA;;14-03-2026;44559027;;;;;;;729397.246689791;6295556.16362409;-54.5319;-33.4549;POLICLINICA DR A PODESTA CARNELLI;
126373;POL MARISCALA;9;LAVALLEJA;9621;MARISCALA;;;;;;;;;;;;;;SARANDI esquina CALLE 33;;14-03-2026;44492004;;;;;;;704932.779879402;6230642.13146417;-54.7799;-34.0449;POLICLINICA MARISCALA;
126374;CS SOLIS DE MATAOJO;9;LAVALLEJA;9622;SOLIS DE MATAOJO;;25 DE AGOSTO;;;;MARIA AMESTOY DE VILLALBA;;;;;;;;25 DE AGOSTO esquina MARIA AMESTOY DE VILLALBA;;14-03-2026;44474032;;;;;;;640591.572196685;6170922.30290055;-55.4669;-34.5939;CENTRO DE SALUD SOLIS DE MATAOJO;
126375;POL PIRARAJA;9;LAVALLEJA;9721;PIRARAJA;;OLMOS;;;;;;;;;;;;OLMOS esquina DR PEDRO CORBO P PIRARAJA;;14-03-2026;44482005;;;;;;;707429.325047457;6264652.75270996;-54.7609;-33.7379;POLICLINICA PIRARAJA;
126376;POL ZAPICAN;9;LAVALLEJA;9722;ZAPICAN;;;;;;;;;;;;;;25 DE AGOSTO esquina CONSTITUYENTE;;14-03-2026;44632018;;;;;;;691493.708405078;6288283.67313234;-54.9379;-33.5279;POLICLINICA ZAPICAN;
126377;POL COLON;9;LAVALLEJA;9821;COLON;;;;;;;;;;;;;;VIVIENDAS INVE COLON;;14-03-2026;44409097;;;;;;;710881.860960907;6248931.43377739;-54.7199;-33.8789;POLICLINICA COLON;
126378;POL ARAMENDIA;9;LAVALLEJA;9823;ARAMENDIA;;;;;;;;;;;;;;POBLADO ARAMENDIA;;14-03-2026;;;;;;;;721211.307108915;6275329.4414637;-54.6149;-33.6389;POLICLINICA ARAMENDIA;
126379;POL POLANCO;9;LAVALLEJA;9942;POLANCO NORTE;;;;;;;;;;;;;;RUTA 39;;14-03-2026;44402599;;;;;;;673704.174052142;6250127.55558148;-55.1219;-33.8749;POLICLINICA POLANCO;
126380;POL VILLA ROSARIO;9;LAVALLEJA;9955;VILLA DEL ROSARIO;;;;;;;;;;;;;;25 DE AGOSTO;;14-03-2026;;;;;;;;640233.415828814;6201975.85202821;-55.4759;-34.314;POLICLINICA VILLA ROSARIO;
126381;POL LA CORONILLA;9;LAVALLEJA;9957;BARRIO LA CORONILLA - ANCAP;;;;;;;;;;;;;;RUTA 8;;14-03-2026;;;;;;;;656642.673385306;6192518.92558506;-55.2959;-34.3969;POLICLINICA LA CORONILLA;
126382;POL ILLESCAS;9;LAVALLEJA;9991;ILLESCAS;;;;;;;;;;;;;;;;14-03-2026;;;;;;;;654568.983116743;6279851.96622886;-55.3339;-33.6099;POLICLINICA ILLESCAS;
126386;POL BARRIO ELISA;10;MALDONADO;10020;MALDONADO;;JUSTICIA;;;;ALFREDO ZITARROSA;;;;;;;;JUSTICIA esquina ALFREDO ZITARROSA;;14-03-2026;42251249;;;;;;;688529.594698566;6137335.41169821;-54.9369;-34.8889;POLICLINICA BARRIO ELISA;
126387;POL INTERSOCIAL;10;MALDONADO;10020;MALDONADO;;;;;;;;;;;;;;AV DE LOS GAUCHOS;;14-03-2026;;;;;;;;687878.437554021;6136793.97628453;-54.9439;-34.8939;POLICLINICA INTERSOCIAL;
126388;POL MUNICIPAL DE MALDONADO NUEVO;10;MALDONADO;10020;MALDONADO;;ALBERTO CARACARA;;;;TEODORO CHACOVO;;;;;;;;ALBERTO CARACARA esquina TEODORO CHACOVO;;14-03-2026;42232353;;;;;;;688326.251997084;6136340.90306912;-54.9389;-34.8979;POLICLINICA MUNICIPAL DE MALDONADO NUEVO;
126390;POL BARRIO SUR;10;MALDONADO;10321;SAN CARLOS;;MELCHOR MAURENTE;;;;;;;;;;;;MELCHOR MAURENTE;;14-03-2026;42661698;;;;;;;690440.727155869;6147027.63075696;-54.9182;-34.8012;POLICLINICA BARRIO SUR;
126391;POL RODRIGUEZ BARRIOS;10;MALDONADO;10321;SAN CARLOS;;AVDA. ROCHA;;;;;;;;;;;;ROCHA esquina MONTENEGRO;;14-03-2026;42670145;;;;;;;691233.151703517;6148597.9775691;-54.9099;-34.7869;POLICLINICA RODRIGUEZ BARRIOS;
126394;POL PIRIAPOLIS;10;MALDONADO;10523;PIRIAPOLIS;;SIMON DEL PINO;;;;;;;;;;;;SIMON DEL PINO esquina HECTOR BARRIOS;;14-03-2026;44322648;;;;;;;657326.806259193;6141031.54467831;-55.2789;-34.8609;POLICLINICA PIRIAPOLIS;
126395;POL MUNICIPAL DE CERRO PELADO;10;MALDONADO;10900;;;;;;;;;;;;;;;SIERRA DE LAS CANAS esquina CERRO DE SALAMANCA;;14-03-2026;42243688;;;;;;;684789.117033956;6137744.60959258;-54.9779;-34.8859;POLICLINICA MUNICIPAL DE CERRO PELADO;
126396;POL GARZON;10;MALDONADO;10822;GARZON;;;;;;;;;;;;;;LA CANTERA esquina LOS CERRILLOS;;14-03-2026;44806001;;;;;;;725066.086893021;6169252.77892768;-54.5459;-34.5939;POLICLINICA GARZON;
126397;POL LOS TALAS;10;MALDONADO;10826;LOS TALAS;;;;;;;;;;;;;;Camino Valdivia esquina RUTA 12;;14-03-2026;44406408;;;;;;;731392.832769854;6224703.41826137;-54.4919;-34.0929;POLICLINICA LOS TALAS;
126399;POL KENNEDY;10;MALDONADO;10900;;;;;;;;;;;;;;;SAN PABLO esquina ROCHA;;14-03-2026;94341110;;;;;;;690738.119492538;6133627.68276382;-54.9119;-34.9219;POLICLINICA KENNEDY;
